team1_pick1,team1_pick2,team1_pick3,team1_pick4,team1_pick5,team2_pick1,team2_pick2,team2_pick3,team2_pick4,team2_pick5,team1_wins
Ambessa,Ezreal,Nautilus,Karma,Volibear,Rell,Corki,Vi,Rumble,Renekton,0
Jayce,Mel,Xin Zhao,Corki,Nautilus,Ambessa,Ezreal,Lee Sin,Rell,Ryze,0
Viego,Taliyah,K'Sante,Alistar,Tristana,Mel,Wukong,Gragas,Leona,Jinx,1
K'Sante,Zoe,Pantheon,Kai'Sa,Rell,Ezreal,Viktor,Ambessa,Xin Zhao,Alistar,0
Aurora,Lee Sin,Jhin,Poppy,Maokai,Ezreal,Viktor,Wukong,Rakan,Sion,0
Corki,Sejuani,K'Sante,Nautilus,Yone,Ambessa,Rell,Lillia,Jinx,Azir,1
Ambessa,Zyra,Ezreal,Nautilus,Jayce,Varus,Vi,Rumble,Leona,Ahri,0
Jayce,Maokai,Ezreal,Nautilus,K'Sante,Rumble,Corki,Vi,Rakan,Kai'Sa,1
Ezreal,Leona,Ivern,Syndra,Poppy,Tristana,Maokai,Braum,Azir,Garen,0
Skarner,K'Sante,Kai'Sa,Leona,Viktor,Varus,Vi,Taliyah,Jayce,Alistar,0
Corki,Jayce,Leona,Ziggs,Wukong,Varus,Ambessa,Orianna,Poppy,Sejuani,0
Mel,Kai'Sa,Amumu,Braum,Gnar,Maokai,Akali,Ezreal,Leona,Olaf,0
Gragas,Xayah,Braum,Jarvan IV,Akali,Varus,Xin Zhao,Karma,Taliyah,Cho'Gath,0
Skarner,Rell,Ornn,Miss Fortune,Hwei,Lillia,K'Sante,Leona,Kalista,Smolder,0
Corki,Orianna,Nocturne,Renekton,Nautilus,Maokai,Jinx,Braum,Irelia,Gwen,1
K'Sante,Diana,Ezreal,Alistar,Kalista,Corki,Zyra,Gnar,Rell,Miss Fortune,1
Varus,Akali,Jax,Xin Zhao,Leona,Orianna,Nocturne,Miss Fortune,Rell,Gnar,1
Varus,Zyra,Rell,Viktor,Gnar,Pantheon,Zeri,Mel,Lulu,Sion,0
Corki,Cho'Gath,Wukong,Renata Glasc,Aurora,Sion,Ezreal,Amumu,Nautilus,Viktor,1
Varus,Ornn,Gwen,Nautilus,Yone,Ambessa,Ezreal,Master Yi,Leona,Ahri,0
Sejuani,Ziggs,Yone,Ornn,Pantheon,Gragas,Wukong,Aurora,Sivir,Braum,0
Maokai,Renekton,Jayce,Zyra,Miss Fortune,Ambessa,Azir,Ashe,Wukong,Braum,1
Sejuani,Jax,Xerath,Xayah,Rakan,Jarvan IV,Jinx,Quinn,Zilean,Milio,1
Jayce,Sejuani,Kai'Sa,Rakan,Udyr,Varus,Maokai,Syndra,Vi,Rumble,0
K'Sante,Mel,Ezreal,Braum,Xin Zhao,Yone,Maokai,Rumble,Kai'Sa,Rakan,0
Ambessa,Vi,Kalista,Hwei,Rakan,Sejuani,Jax,Corki,Renata Glasc,Ahri,1
Orianna,Viego,Gragas,Sivir,Bard,Ashe,Nocturne,Cho'Gath,Hwei,Alistar,1
Maokai,Renekton,Poppy,Vayne,Orianna,Ambessa,Xin Zhao,Braum,Xayah,Viktor,1
Corki,Zyra,Varus,Cho'Gath,Poppy,Vi,Aurora,Leona,Sion,Sivir,0
Jinx,Jarvan IV,Karma,Garen,Neeko,Zyra,Lulu,Zeri,Poppy,Tristana,1
Ezreal,Gnar,Wukong,Cassiopeia,Rell,Xin Zhao,Leona,Azir,Camille,Vayne,0
K'Sante,Varus,Taliyah,Lee Sin,Elise,Corki,Renekton,Nocturne,Lulu,Galio,1
Ornn,Viktor,Wukong,Zeri,Renata Glasc,Gnar,Ashe,Rell,Viego,Azir,0
Caitlyn,Azir,Ivern,Pantheon,Braum,Orianna,Jhin,Xin Zhao,Gnar,Bard,1
K'Sante,Nocturne,Orianna,Blitzcrank,Jhin,Garen,Hwei,Brand,Senna,Sion,0
Thresh,Renekton,Jinx,Nocturne,Ahri,K'Sante,Sion,Zyra,Miss Fortune,Nautilus,0
Skarner,Ambessa,Ahri,Ezreal,Poppy,Kalista,Rumble,Maokai,Corki,Nautilus,1
Yone,Sejuani,Kai'Sa,Gangplank,Alistar,Lillia,Jax,Xayah,Pantheon,Rakan,0
Galio,Nocturne,Shen,Sivir,Kennen,Wukong,Camille,Ziggs,Zilean,Aatrox,1
Gnar,Varus,Leona,LeBlanc,Viego,Sylas,Lee Sin,Azir,Taric,Aphelios,1
Kalista,Vi,Sylas,Camille,Nautilus,Neeko,Varus,Ambessa,Viego,Galio,0
Ashe,Braum,Azir,Wukong,Ornn,Rumble,Xin Zhao,Ezreal,Leona,Taliyah,0
Zyra,Ashe,Braum,Zeri,Gnar,Leona,Corki,Nidalee,Ziggs,Jax,0
Ivern,Leona,Ambessa,Ezreal,Gwen,Skarner,Rell,Aurora,Draven,Garen,1
Nocturne,Ahri,Rakan,Udyr,Jinx,Aurora,Ezreal,Alistar,Lee Sin,Ryze,0
Varus,Jayce,Pantheon,Shen,Ahri,Miss Fortune,Ambessa,Sejuani,Elise,Sylas,0
Maokai,Galio,Varus,Braum,Smolder,Rumble,Vi,Ezreal,Leona,Hwei,1
Varus,Galio,Elise,Viego,Jayce,Rumble,Vi,Yone,Caitlyn,Karma,1
Skarner,Varus,Rell,Ahri,Ornn,Jinx,Ivern,Thresh,Hwei,Ambessa,0
Jayce,Vi,Akali,Zeri,Nautilus,Zyra,Yone,Corki,Rell,Malphite,0
K'Sante,Lee Sin,Orianna,Renata Glasc,Zeri,Aurora,Xin Zhao,Ambessa,Rakan,Jinx,0
Corki,Viego,Nautilus,Viktor,Gragas,Ezreal,Leona,Jayce,Sejuani,Sylas,1
Maokai,Ezreal,Gwen,Jayce,Malphite,Corki,Sejuani,Yone,Sett,Xerath,0
Viktor,Kalista,Renata Glasc,Xin Zhao,Renekton,Ivern,Rell,K'Sante,Xayah,Akali,0
Rumble,Nocturne,Orianna,Jhin,Rakan,Ashe,Wukong,Galio,Sion,Lulu,0
Ezreal,Sejuani,Yone,Hwei,Poppy,Viktor,Viego,Rell,Sylas,Ambessa,1
Ambessa,Vi,Kai'Sa,Azir,Elise,K'Sante,Ezreal,Wukong,Ahri,Leona,1
Corki,Alistar,Zyra,Yone,Yasuo,Rell,Maokai,Varus,Gnar,Smolder,0
Kalista,Pantheon,Renata Glasc,Azir,Warwick,Ambessa,Vi,Varus,Neeko,Ahri,1
K'Sante,Sejuani,Yone,Ashe,Rakan,Varus,Zyra,Corki,Aurora,Rell,1
Skarner,Mel,Jayce,Galio,Jax,Lulu,Xin Zhao,Sivir,Aurora,Maokai,0
Ambessa,Azir,Ezreal,Alistar,Ivern,Taliyah,Vi,Kai'Sa,Pantheon,Jax,0
Ambessa,Maokai,Ezreal,Taliyah,Rell,Varus,Sejuani,Mel,Volibear,Rakan,0
Ashe,Nidalee,Braum,Azir,Gnar,Corki,K'Sante,Lillia,Pyke,Jhin,0
K'Sante,Vi,Aurora,Corki,Alistar,Yone,Sejuani,Kai'Sa,Gnar,Rakan,0
Jayce,Wukong,Varus,Ornn,Rell,Galio,Ezreal,Xin Zhao,Rumble,Braum,1
Azir,Maokai,Jax,Jhin,Pyke,Mel,Leona,Lillia,Miss Fortune,Gangplank,1
Ambessa,Karthus,Camille,Ashe,Smolder,Zyra,Renekton,Xayah,Fiora,Shen,1
Kalista,Jayce,Renata Glasc,Olaf,Orianna,Ashe,K'Sante,Seraphine,Xin Zhao,Azir,1
Nidalee,Poppy,Zeri,Aatrox,Ahri,Sylas,Pantheon,Viego,Twitch,Kennen,1
Kalista,Vi,Renata Glasc,Mel,Ornn,Rumble,Sejuani,Yone,Miss Fortune,Nautilus,1
Yone,Sejuani,Jax,Xayah,Lulu,Aurora,Gnar,Vi,Rakan,Ezreal,0
Skarner,Kai'Sa,Corki,Udyr,Gragas,Nocturne,Varus,Orianna,Alistar,Sett,1
Udyr,Wukong,Ryze,Draven,Nautilus,Varus,Aatrox,Nidalee,Hwei,Rell,0
Mel,Jayce,Vi,Leona,Miss Fortune,Rell,Nidalee,Ambessa,Kai'Sa,Aurora,1
Ezreal,Renekton,Nidalee,Jayce,Rakan,Ambessa,Varus,Kindred,Braum,Gragas,0
Skarner,Rumble,Varus,Azir,Rell,Corki,Jayce,Brand,Nautilus,Miss Fortune,1
Maokai,Corki,Rell,Kai'Sa,Jax,Ezreal,Sejuani,Rakan,Jayce,Smolder,1
Maokai,Varus,Rell,Mel,Garen,Aurora,Corki,Ambessa,Alistar,Aatrox,1
Nocturne,Ashe,Ambessa,Annie,Ryze,Kai'Sa,Xin Zhao,Udyr,Elise,Taliyah,1
K'Sante,Poppy,Aurora,Twitch,Trundle,Leona,Gnar,Jinx,Pantheon,Vladimir,1
Aurora,Pantheon,Gragas,Jinx,Poppy,Ezreal,Lee Sin,Karma,Maokai,Leona,1
Corki,Vi,Kai'Sa,Aurora,Leona,Zyra,Ezreal,Hwei,K'Sante,Braum,1
Skarner,Tristana,Jayce,Rakan,Aurora,Ezreal,K'Sante,Zyra,Rell,Smolder,1
Corki,Sejuani,Jayce,Yone,Alistar,Maokai,Mel,Xin Zhao,Sivir,Malphite,1
Corki,Fiora,Orianna,Sejuani,Nautilus,Maokai,Rumble,Jayce,Kai'Sa,Rell,1
Poppy,Tristana,Ahri,Leona,Nocturne,Jayce,Ezreal,Maokai,Syndra,Rakan,0
Corki,Leona,Udyr,Galio,Gnar,Orianna,Nocturne,Jinx,Maokai,Alistar,1
K'Sante,Taliyah,Rell,Nocturne,Jhin,Kalista,Viktor,Renata Glasc,Wukong,Camille,0
Ezreal,Nocturne,Aurora,Ornn,Elise,Varus,Azir,Viego,Pantheon,Braum,1
Corki,Karthus,Varus,Ambessa,Nautilus,Gragas,Xayah,Irelia,K'Sante,Taric,1
Zyra,K'Sante,Rell,Azir,Kalista,Ambessa,Viego,Aurora,Corki,Rakan,1
Maokai,Tristana,Varus,Rumble,Renata Glasc,Yone,Sejuani,Ezreal,Nautilus,Karma,0
Mel,Renekton,Vi,Smolder,Poppy,Hwei,Sion,Wukong,Leona,Sivir,0
Ambessa,Azir,Kalista,Vi,Braum,K'Sante,Wukong,Rell,Corki,Hwei,1
K'Sante,Zyra,Corki,Hwei,Rell,Skarner,Ezreal,Leona,Aurora,Olaf,1
Sejuani,Kai'Sa,Ahri,Nautilus,Jax,Ambessa,Taliyah,Vi,Poppy,Xayah,0
Viktor,Sejuani,Rakan,Sivir,Jax,Varus,Zyra,Nautilus,Galio,Gnar,0
Varus,Ambessa,Sejuani,Azir,Elise,Rumble,Ezreal,Xin Zhao,Pantheon,Ziggs,0
Vi,Ashe,Braum,Aurora,Gangplank,Poppy,Taliyah,Kai'Sa,Jax,Rakan,1
Skarner,Cassiopeia,Rell,Xayah,Shen,Ivern,Yone,Camille,Nautilus,Jhin,1
K'Sante,Ezreal,Leona,Xin Zhao,Sylas,Rumble,Vi,Yone,Rakan,Xayah,0
Ambessa,Ahri,Wukong,Kai'Sa,Nautilus,Aurora,Corki,Camille,Alistar,Lillia,1
Sejuani,Jax,Viktor,Jhin,Elise,Varus,Nidalee,Rell,Sion,Azir,1
Gnar,Smolder,Maokai,Hwei,Pyke,Ashe,Galio,Kindred,Udyr,Pantheon,1
Skarner,Taliyah,Renekton,Jinx,Lulu,Kalista,Ivern,Olaf,Cassiopeia,Blitzcrank,1
Kalista,Renata Glasc,Aurora,Wukong,Ambessa,Jayce,Vi,Lux,Ashe,Braum,1
K'Sante,Pantheon,Corki,Nautilus,Sylas,Jax,Miss Fortune,Rell,Maokai,Hwei,0
Ambessa,Varus,Poppy,Camille,Galio,Jayce,Sejuani,Azir,Ezreal,Leona,1
Kalista,Nocturne,Rumble,Neeko,Vex,Ashe,Jayce,Aurora,Sejuani,Xin Zhao,1
Vi,Xayah,Rakan,Aurora,Kennen,Skarner,Miss Fortune,Rell,Jax,Syndra,0
K'Sante,Tristana,Viego,Hwei,Nautilus,Ambessa,Vi,Kai'Sa,Orianna,Rell,0
Rumble,Wukong,Taliyah,Zeri,Alistar,Corki,Udyr,Viego,Nautilus,Ryze,1
Jayce,Ziggs,Vi,K'Sante,Alistar,Rumble,Nocturne,Orianna,Ezreal,Poppy,1
Corki,Skarner,Renekton,Hwei,Blitzcrank,Ambessa,Varus,Xin Zhao,Viktor,Braum,1
Gnar,Ashe,Xin Zhao,Zoe,Bard,K'Sante,Jinx,Sylas,Braum,Zac,1
Udyr,Sejuani,Kai'Sa,Elise,Tryndamere,Zyra,Yone,Ashe,Leona,Olaf,1
Corki,Rumble,Rell,Hwei,Xin Zhao,K'Sante,Maokai,Ezreal,Mel,Leona,0
Corki,Maokai,Jayce,Rell,Taliyah,Viktor,Ezreal,Xin Zhao,Fiora,Nautilus,0
Maokai,Tristana,Rakan,Lee Sin,Hwei,Ezreal,K'Sante,Leona,Wukong,Taliyah,0
Skarner,Mel,Sion,Sivir,Lulu,Corki,K'Sante,Karthus,Rell,Zeri,0
Ambessa,Orianna,Wukong,Swain,Senna,Vi,K'Sante,Kai'Sa,Rakan,Ahri,0
Varus,Jayce,Jarvan IV,Galio,Rakan,Sivir,Viktor,Sion,Wukong,Thresh,1
Aurora,Maokai,Corki,Rakan,Renekton,K'Sante,Wukong,Kalista,Orianna,Renata Glasc,0
Poppy,Galio,Ornn,Jinx,Renata Glasc,Orianna,Sion,Nocturne,Kai'Sa,Elise,0
Vi,Corki,Mel,K'Sante,Poppy,Pantheon,Ezreal,Leona,Aurora,Swain,0
K'Sante,Vayne,Syndra,Maokai,Nami,Ezreal,Volibear,Karma,Vi,Sylas,1
Ezreal,Xin Zhao,Ryze,Leona,Gnar,Jayce,Aurora,Varus,Amumu,Renata Glasc,1
Sejuani,Leona,Azir,Jax,Xayah,Yone,Jinx,Alistar,Diana,Gwen,0
Skarner,Ambessa,Kai'Sa,Poppy,Hwei,K'Sante,Varus,Viego,Rell,Orianna,0
Skarner,Ambessa,Rell,Ahri,Jinx,Maokai,Azir,Warwick,Lulu,Sivir,0
K'Sante,Sejuani,Lucian,Leona,Viktor,Skarner,Ashe,Gwen,Rell,Swain,1
Pantheon,Xayah,Taliyah,Karma,Cho'Gath,Orianna,Nocturne,Jinx,Braum,Jax,1
K'Sante,Yone,Zyra,Zeri,Lulu,Skarner,Rumble,Varus,Rell,Smolder,1
Ambessa,Maokai,Ezreal,Poppy,Taliyah,Vi,K'Sante,Kai'Sa,Aurora,Braum,1
Skarner,Gnar,Tristana,Alistar,Aurora,K'Sante,Varus,Vi,Rell,Viktor,1
Azir,Xayah,Rakan,Karma,Lee Sin,Kalista,Viktor,Renata Glasc,Wukong,Jayce,0
Jayce,Zyra,Ashe,Gnar,Rell,K'Sante,Nidalee,Ezreal,Corki,Alistar,1
Vi,Poppy,Kai'Sa,Jax,Azir,Pantheon,Varus,Annie,Elise,Aatrox,0
Rumble,Sejuani,Yone,Xayah,Rakan,Viktor,Lee Sin,Ornn,Senna,Wukong,1
Karma,Kindred,Leona,Jhin,Mel,Xin Zhao,Aurora,Braum,Smolder,Camille,1
Skarner,Jayce,Azir,Xayah,Rell,Ambessa,Vi,Viktor,Rakan,Jhin,1
Skarner,K'Sante,Orianna,Kai'Sa,Nautilus,Jayce,Corki,Zyra,Poppy,Xayah,0
Aurora,Gnar,Ashe,Lee Sin,Rell,Sejuani,Jax,Sylas,Zeri,Rakan,0
Corki,Galio,Xin Zhao,Aurora,Neeko,Rumble,Ashe,Braum,Sejuani,Yone,1
Rumble,Wukong,Miss Fortune,Pantheon,Akali,Corki,Varus,Diana,Nautilus,Camille,0
Jayce,Ezreal,Vi,Bard,Gragas,Varus,Ambessa,Pantheon,Renata Glasc,Mel,0
Udyr,Zyra,Ashe,Smolder,Shen,Ezreal,Skarner,Leona,Zac,Viktor,1
Wukong,Kai'Sa,Jax,Nautilus,Syndra,Ezreal,Pantheon,Taliyah,Alistar,Maokai,0
Rumble,Caitlyn,Xin Zhao,Sylas,Lulu,Corki,K'Sante,Viego,Elise,Akali,0
Elise,Jayce,Ezreal,Galio,Xin Zhao,Ambessa,Vi,Ahri,Miss Fortune,Rell,0
Varus,Gnar,Zyra,Pyke,Akali,K'Sante,Miss Fortune,Viego,Orianna,Bard,1
Orianna,Wukong,Kai'Sa,Poppy,Renekton,Varus,Nocturne,Akali,Camille,Renata Glasc,0
Renekton,Gragas,Yasuo,Kindred,Ryze,Nidalee,Senna,Ornn,Aatrox,Cassiopeia,1
Viktor,Fiora,Sejuani,Sivir,Nautilus,Rumble,Vi,Mel,Ezreal,Alistar,1
Skarner,Viktor,Jayce,Caitlyn,Thresh,Xin Zhao,Orianna,Rell,Rumble,Miss Fortune,1
Maokai,Corki,Ambessa,Vi,Taliyah,Ivern,Ezreal,K'Sante,Viktor,Tahm Kench,1
K'Sante,Viktor,Kai'Sa,Rell,Wukong,Ambessa,Ezreal,Aurora,Sejuani,Poppy,1
Maokai,Yone,Kai'Sa,Rakan,Jayce,Varus,Ambessa,Rell,Viego,Vex,1
Wukong,Ezreal,Azir,Braum,Ornn,Varus,Leona,Syndra,Lee Sin,Camille,0
K'Sante,Vi,Jinx,Braum,Azir,Skarner,Udyr,Kai'Sa,Rell,LeBlanc,0
Skarner,Leona,Yone,Ziggs,Olaf,Zyra,Corki,Poppy,Rell,Sivir,0
Wukong,Ambessa,Azir,Rell,Caitlyn,K'Sante,Orianna,Xin Zhao,Kai'Sa,Poppy,1
K'Sante,Nidalee,Varus,Poppy,Smolder,Skarner,Aurora,Pantheon,Ezreal,Camille,0
Corki,Nocturne,Orianna,Ornn,Nautilus,Mel,Pantheon,Ryze,Leona,Gnar,0
Varus,Jayce,Rell,Rumble,Viego,Xin Zhao,Kai'Sa,Rakan,Orianna,Olaf,1
Vi,Ahri,Kai'Sa,Bard,Jayce,Xin Zhao,Orianna,Xayah,Alistar,Sion,1
Vi,Mel,Leona,Sylas,Renekton,Ezreal,Maokai,Alistar,Aurora,Smolder,1
Varus,Rumble,Sejuani,Corki,Braum,Ezreal,Maokai,Rell,Yone,Smolder,0
Maokai,Kalista,Renata Glasc,Orianna,Wukong,Corki,Rell,Ambessa,Sejuani,Syndra,1
Varus,Jarvan IV,Ambessa,Syndra,Nautilus,Corki,Zyra,Renekton,Ezreal,Leona,0
Viktor,Kai'Sa,Rell,Sion,Xin Zhao,Ezreal,Leona,Yone,Ivern,Aatrox,0
Viktor,Corki,Jax,Nocturne,Neeko,Sejuani,Miss Fortune,Jayce,Hwei,Galio,0
Maokai,Caitlyn,Nautilus,Bel'Veth,Viktor,K'Sante,Pantheon,Miss Fortune,Taric,Sylas,1
Ezreal,Nocturne,Leona,Jax,Viktor,Varus,Zyra,Braum,Renekton,Mel,1
K'Sante,Nocturne,Jinx,Syndra,Leona,Maokai,Corki,Rell,Hwei,Wukong,0
Varus,Zyra,Jayce,Poppy,Braum,Viktor,Vi,Ambessa,Miss Fortune,Rell,1
Ezreal,Maokai,Ahri,Pyke,Nocturne,Jayce,Kai'Sa,Vi,Rakan,Sylas,1
Maokai,Jayce,Syndra,Tristana,Taric,K'Sante,Viego,Leona,Aurora,Aphelios,1
Corki,Vi,Ahri,Poppy,Alistar,K'Sante,Maokai,Taliyah,Rell,Draven,1
Corki,Viego,K'Sante,Xerath,Rakan,Varus,Skarner,Gnar,Azir,Alistar,1
Maokai,Jayce,Kai'Sa,Ambessa,Nautilus,Viktor,Ezreal,Sion,Nocturne,Leona,0
K'Sante,Pantheon,Kai'Sa,Sylas,Maokai,Corki,Gnar,Diana,Wukong,Cassiopeia,1
Mel,Cho'Gath,Kalista,Braum,Wukong,K'Sante,Varus,Rell,Azir,Lee Sin,0
Skarner,Azir,Zeri,Yuumi,Jayce,Jarvan IV,Jinx,Gnar,Lulu,Ryze,1
Ambessa,Lee Sin,Nautilus,Jinx,Galio,Renekton,Viego,Braum,Aurora,Ezreal,1
Ornn,Wukong,Nautilus,Aurora,Caitlyn,Ambessa,Vi,Braum,Kog'Maw,Taliyah,0
Corki,Jarvan IV,Akali,Bard,Gnar,Azir,Vi,K'Sante,Rakan,Xayah,1
Gragas,Janna,Jhin,LeBlanc,Viego,Corki,Leona,Gnar,Nidalee,Sivir,0
Leona,Zyra,Jayce,Kai'Sa,Sion,Xin Zhao,Rakan,Miss Fortune,Viktor,Ornn,1
Yone,Xayah,Maokai,Nautilus,K'Sante,Vi,Rakan,Kai'Sa,Twisted Fate,Gnar,1
Ambessa,Lillia,Pantheon,Braum,Varus,Galio,Xin Zhao,Camille,Ezreal,Karma,1
Skarner,Ezreal,Jax,Elise,Azir,Varus,Jayce,Poppy,Xin Zhao,Orianna,1
Aurora,Graves,Ashe,Leona,Aatrox,K'Sante,Viego,Kai'Sa,Nautilus,Zoe,0
Jayce,Sejuani,Aurora,Jhin,Leona,Rumble,Poppy,Zeri,Viego,Ryze,0
K'Sante,Skarner,Azir,Ashe,Renata Glasc,Ambessa,Varus,Brand,Poppy,Yone,1
Mel,Sejuani,Ambessa,Zeri,Lulu,K'Sante,Skarner,Azir,Ashe,Nautilus,1
Udyr,Vi,Miss Fortune,Viktor,Pantheon,Aurora,Corki,Sejuani,Rakan,Camille,1
Nidalee,Ashe,Aatrox,Sylas,Renata Glasc,Corki,Nocturne,Kennen,Shen,Viktor,1
Aurora,Viego,Kai'Sa,Alistar,Ornn,Jayce,Ezreal,Vi,Rell,Sylas,0
Jayce,Ezreal,Leona,Galio,Nidalee,Jhin,Xin Zhao,Jax,Shen,Hwei,0
Wukong,Gragas,Alistar,Mel,Kled,Jax,Ahri,Rell,Miss Fortune,Olaf,0
K'Sante,Miss Fortune,Azir,Lillia,Poppy,Ambessa,Varus,Vi,Rell,Aurora,1
Rell,Xin Zhao,Galio,Camille,Taliyah,Vi,Leona,Azir,Tristana,Irelia,1
Udyr,Caitlyn,Elise,Viego,Taliyah,Zyra,Leona,Gragas,Jhin,Tristana,0
Maokai,Braum,Miss Fortune,Yone,Lillia,Mel,Nautilus,Sejuani,Jayce,Smolder,0
Mel,Ambessa,Varus,Xin Zhao,Lulu,K'Sante,Ezreal,Azir,Pantheon,Karma,0
Skarner,Corki,Hwei,Nautilus,Jax,Wukong,Galio,Ezreal,Leona,Aatrox,0
Ezreal,Braum,Maokai,Gnar,Taliyah,Kai'Sa,Rell,Wukong,Sion,Aurora,1
Ambessa,Sejuani,Varus,Rell,Sylas,Corki,Maokai,Yone,Jayce,Poppy,1
Corki,Nocturne,Sylas,Leona,Gnar,Skarner,Maokai,Ezreal,Viktor,Olaf,0
Ezreal,Xin Zhao,Azir,Fiora,Rakan,Kai'Sa,Mel,Nautilus,Viego,Gragas,1
Ezreal,Zyra,Ambessa,Yone,Alistar,Mel,K'Sante,Nautilus,Lillia,Miss Fortune,1
Wukong,Fiora,Rell,Ahri,Zeri,Sion,Viego,Hwei,Leona,Xayah,1
Kalista,Ambessa,Azir,Xin Zhao,Bard,Renata Glasc,Draven,K'Sante,Vi,Taliyah,0
Skarner,Ezreal,Jayce,Rell,Ahri,Brand,Corki,Nautilus,Irelia,Malphite,1
Corki,Wukong,Rell,Jax,Vladimir,Varus,Maokai,Nautilus,Jayce,Akali,1
Mel,Pantheon,Alistar,Sivir,Cho'Gath,Leona,Orianna,Poppy,Miss Fortune,Aatrox,1
Lee Sin,Jhin,Elise,Zac,Ambessa,Ashe,Pantheon,Lulu,Ahri,Poppy,1
K'Sante,Syndra,Wukong,Braum,Jinx,Kalista,Aurora,Nocturne,Leona,Aatrox,0
Rumble,Kai'Sa,Rell,Pantheon,Akali,Ezreal,Leona,Zyra,Sion,Galio,0
Corki,Zyra,Renekton,Ashe,Seraphine,Yone,Draven,Karthus,Gnar,Maokai,1
Vi,Varus,Sylas,Pyke,Rumble,Xin Zhao,Orianna,Kai'Sa,Poppy,Karma,1
Ambessa,Ezreal,Diana,Ornn,Tahm Kench,Corki,Nocturne,Ahri,Rell,Sett,0
Aurora,Kai'Sa,K'Sante,Nautilus,Wukong,Ezreal,Karma,Mel,Jayce,Sejuani,1
Varus,Pantheon,Leona,Aurora,Aatrox,Vi,Kai'Sa,Rumble,Galio,Viktor,1
Ambessa,Lillia,K'Sante,Varus,Neeko,Ezreal,Sejuani,Poppy,Hwei,Karma,1
Skarner,Tristana,Jayce,Rakan,Hwei,K'Sante,Varus,Ivern,Nautilus,Vex,0
Ezreal,Nautilus,Orianna,Wukong,Xin Zhao,Maokai,Ambessa,Corki,Kai'Sa,Alistar,0
Ambessa,Ezreal,Rell,Wukong,Rumble,Corki,Xin Zhao,Leona,Viktor,Ryze,0
Corki,Jax,Wukong,Sylas,Alistar,Miss Fortune,Viego,Gragas,Rakan,Hwei,0
Viego,Leona,Aurora,Tristana,Sion,Wukong,Rell,Akali,Zeri,Gwen,0
Mel,Ezreal,Gragas,Taliyah,Wukong,Viktor,K'Sante,Zeri,Rakan,Amumu,0
Kalista,Hwei,Nocturne,Senna,Gragas,Ambessa,Viktor,Miss Fortune,Rengar,Tahm Kench,0
Syndra,Jarvan IV,Corki,Alistar,Renekton,Hwei,Maokai,Ezreal,Rell,Darius,0
Mel,Ezreal,Poppy,Braum,Sejuani,K'Sante,Varus,Orianna,Nocturne,Lulu,0
Ambessa,Kog'Maw,Braum,Xin Zhao,Swain,Renekton,Sejuani,Ziggs,Bard,Yasuo,0
Skarner,Viktor,Rell,Tristana,Jax,Mel,Leona,Pantheon,Jhin,Akali,0
Azir,Pantheon,Ezreal,Jayce,Leona,Mel,Corki,Ambessa,Xin Zhao,Poppy,0
Pantheon,Varus,Rumble,LeBlanc,Rakan,Maokai,Gnar,Ezreal,Corki,Poppy,0
Kalista,Gragas,Pyke,LeBlanc,Xin Zhao,Rumble,Ashe,Taliyah,Rell,Viego,0
Varus,Poppy,Aurora,Ambessa,Thresh,Vi,Ahri,Kai'Sa,Zac,Sion,0
Maokai,Gnar,Twitch,Wukong,Hwei,K'Sante,Jinx,Sylas,Milio,Amumu,1
Mel,Viego,Annie,Olaf,Rell,Vi,Ahri,Jinx,Renekton,Lulu,1
Zyra,Gnar,Jhin,Ahri,Pyke,Rumble,Jarvan IV,Tristana,Rakan,LeBlanc,0
Jarvan IV,Poppy,Zeri,Xerath,Garen,Rakan,Xayah,Mel,Volibear,Camille,1
Vi,Rumble,Yone,Ashe,Braum,Ezreal,Nidalee,Galio,Leona,Sett,0
Ambessa,Miss Fortune,Nautilus,Mel,Sejuani,Kai'Sa,Poppy,Xin Zhao,Aurora,Camille,0
Jinx,Lillia,Corki,Renata Glasc,Anivia,Sylas,Wukong,Rakan,Jax,Ziggs,1
Jayce,Nocturne,Jhin,Rell,Viktor,K'Sante,Varus,Alistar,Orianna,Zac,0
Azir,Zeri,Yuumi,Ornn,Pantheon,Maokai,Lucian,Nami,Smolder,Gnar,1
Mel,Varus,K'Sante,Maokai,Rakan,Orianna,Wukong,Ezreal,Gnar,Bard,1
Viego,Syndra,Nautilus,Xayah,Aatrox,Taliyah,Lee Sin,Rell,Gragas,Jhin,0
Ezreal,Maokai,Ambessa,Nautilus,Aurora,Zeri,Jayce,Ahri,Rakan,Xin Zhao,0
K'Sante,Ezreal,Wukong,Syndra,Leona,Maokai,Varus,Nautilus,Aurora,Nocturne,0
Azir,Ivern,Alistar,Jinx,K'Sante,Ezreal,Rell,Taliyah,Wukong,Mordekaiser,0
Viktor,Sejuani,Fiora,Nilah,Rakan,Varus,Xin Zhao,K'Sante,Sylas,Janna,1
Corki,Lillia,Rell,Cho'Gath,Miss Fortune,Sion,Zyra,Yone,Alistar,Ezreal,0
K'Sante,Varus,Vi,Azir,Alistar,Fiora,Sejuani,Draven,Leona,Hwei,0
Ambessa,Sejuani,Kai'Sa,Aurora,Rell,Corki,Vi,Rumble,Azir,Leona,1
